Q9; n=9; d=a^2*p^12+...; I=[ 4, 3, 0 ]; R=[ <1, 4>, <3, 3>, <9, 0> ]; A=<t^4 + a^7*t + a^2>; f=x^9 + (6*a + 6)*x^4 + (6*a + 3)*x^3 + 3; Aut=1T1; Gal=9T11
Q9; n=9; d=a^3*p^12+...; I=[ 4, 3, 0 ]; R=[ <1, 4>, <3, 3>, <9, 0> ]; A=<t^4 + t + a^3>; f=x^9 + (3*a + 6)*x^4 + 6*x^3 + 3; Aut=1T1; Gal=9T8
Q9; n=9; d=a^3*p^12+...; I=[ 4, 3, 0 ]; R=[ <1, 4>, <3, 3>, <9, 0> ]; A=<t^4 + a*t + a^3>; f=x^9 + (3*a + 6)*x^4 + 6*a*x^3 + 3; Aut=1T1; Gal=9T15
Q9; n=9; d=a^3*p^12+...; I=[ 4, 3, 0 ]; R=[ <1, 4>, <3, 3>, <9, 0> ]; A=<t^4 + a^2*t + a^3>; f=x^9 + (3*a + 6)*x^4 + (6*a + 6)*x^3 + 3; Aut=1T1; Gal=9T8
Q9; n=9; d=a^3*p^12+...; I=[ 4, 3, 0 ]; R=[ <1, 4>, <3, 3>, <9, 0> ]; A=<t^4 + a^3*t + a^3>; f=x^9 + (3*a + 6)*x^4 + (3*a + 6)*x^3 + 3; Aut=1T1; Gal=9T15
Q9; n=9; d=a^3*p^12+...; I=[ 4, 3, 0 ]; R=[ <1, 4>, <3, 3>, <9, 0> ]; A=<t^4 + 2*t + a^3>; f=x^9 + (3*a + 6)*x^4 + 3*x^3 + 3; Aut=1T1; Gal=9T8
Q9; n=9; d=a^3*p^12+...; I=[ 4, 3, 0 ]; R=[ <1, 4>, <3, 3>, <9, 0> ]; A=<t^4 + a^5*t + a^3>; f=x^9 + (3*a + 6)*x^4 + 3*a*x^3 + 3; Aut=1T1; Gal=9T15
Q9; n=9; d=a^3*p^12+...; I=[ 4, 3, 0 ]; R=[ <1, 4>, <3, 3>, <9, 0> ]; A=<t^4 + a^6*t + a^3>; f=x^9 + (3*a + 6)*x^4 + (3*a + 3)*x^3 + 3; Aut=1T1; Gal=9T8
Q9; n=9; d=a^3*p^12+...; I=[ 4, 3, 0 ]; R=[ <1, 4>, <3, 3>, <9, 0> ]; A=<t^4 + a^7*t + a^3>; f=x^9 + (3*a + 6)*x^4 + (6*a + 3)*x^3 + 3; Aut=1T1; Gal=9T15
Q9; n=9; d=2*p^12+...; I=[ 4, 3, 0 ]; R=[ <1, 4>, <3, 3>, <9, 0> ]; A=<t^4 + t + 2>; f=x^9 + 3*x^4 + 6*x^3 + 3; Aut=2T1; Gal=9T9
Q9; n=9; d=2*p^12+...; I=[ 4, 3, 0 ]; R=[ <1, 4>, <3, 3>, <9, 0> ]; A=<t^4 + a*t + 2>; f=x^9 + 3*x^4 + 6*a*x^3 + 3; Aut=1T1; Gal=9T11
Q9; n=9; d=2*p^12+...; I=[ 4, 3, 0 ]; R=[ <1, 4>, <3, 3>, <9, 0> ]; A=<t^4 + a^2*t + 2>; f=x^9 + 3*x^4 + (6*a + 6)*x^3 + 3; Aut=1T1; Gal=9T9
Q9; n=9; d=2*p^12+...; I=[ 4, 3, 0 ]; R=[ <1, 4>, <3, 3>, <9, 0> ]; A=<t^4 + a^3*t + 2>; f=x^9 + 3*x^4 + (3*a + 6)*x^3 + 3; Aut=1T1; Gal=9T11
Q9; n=9; d=2*p^12+...; I=[ 4, 3, 0 ]; R=[ <1, 4>, <3, 3>, <9, 0> ]; A=<t^4 + 2*t + 2>; f=x^9 + 3*x^4 + 3*x^3 + 3; Aut=2T1; Gal=9T9
Q9; n=9; d=2*p^12+...; I=[ 4, 3, 0 ]; R=[ <1, 4>, <3, 3>, <9, 0> ]; A=<t^4 + a^5*t + 2>; f=x^9 + 3*x^4 + 3*a*x^3 + 3; Aut=1T1; Gal=9T11
Q9; n=9; d=2*p^12+...; I=[ 4, 3, 0 ]; R=[ <1, 4>, <3, 3>, <9, 0> ]; A=<t^4 + a^6*t + 2>; f=x^9 + 3*x^4 + (3*a + 3)*x^3 + 3; Aut=1T1; Gal=9T9
Q9; n=9; d=2*p^12+...; I=[ 4, 3, 0 ]; R=[ <1, 4>, <3, 3>, <9, 0> ]; A=<t^4 + a^7*t + 2>; f=x^9 + 3*x^4 + (6*a + 3)*x^3 + 3; Aut=1T1; Gal=9T11
Q9; n=9; d=a^5*p^12+...; I=[ 4, 3, 0 ]; R=[ <1, 4>, <3, 3>, <9, 0> ]; A=<t^4 + t + a^5>; f=x^9 + 3*a*x^4 + 6*x^3 + 3; Aut=1T1; Gal=9T15
Q9; n=9; d=a^5*p^12+...; I=[ 4, 3, 0 ]; R=[ <1, 4>, <3, 3>, <9, 0> ]; A=<t^4 + a*t + a^5>; f=x^9 + 3*a*x^4 + 6*a*x^3 + 3; Aut=1T1; Gal=9T8
Q9; n=9; d=a^5*p^12+...; I=[ 4, 3, 0 ]; R=[ <1, 4>, <3, 3>, <9, 0> ]; A=<t^4 + a^2*t + a^5>; f=x^9 + 3*a*x^4 + (6*a + 6)*x^3 + 3; Aut=1T1; Gal=9T15
Q9; n=9; d=a^5*p^12+...; I=[ 4, 3, 0 ]; R=[ <1, 4>, <3, 3>, <9, 0> ]; A=<t^4 + a^3*t + a^5>; f=x^9 + 3*a*x^4 + (3*a + 6)*x^3 + 3; Aut=1T1; Gal=9T8
Q9; n=9; d=a^5*p^12+...; I=[ 4, 3, 0 ]; R=[ <1, 4>, <3, 3>, <9, 0> ]; A=<t^4 + 2*t + a^5>; f=x^9 + 3*a*x^4 + 3*x^3 + 3; Aut=1T1; Gal=9T15
Q9; n=9; d=a^5*p^12+...; I=[ 4, 3, 0 ]; R=[ <1, 4>, <3, 3>, <9, 0> ]; A=<t^4 + a^5*t + a^5>; f=x^9 + 3*a*x^4 + 3*a*x^3 + 3; Aut=1T1; Gal=9T8
Q9; n=9; d=a^5*p^12+...; I=[ 4, 3, 0 ]; R=[ <1, 4>, <3, 3>, <9, 0> ]; A=<t^4 + a^6*t + a^5>; f=x^9 + 3*a*x^4 + (3*a + 3)*x^3 + 3; Aut=1T1; Gal=9T15
Q9; n=9; d=a^5*p^12+...; I=[ 4, 3, 0 ]; R=[ <1, 4>, <3, 3>, <9, 0> ]; A=<t^4 + a^7*t + a^5>; f=x^9 + 3*a*x^4 + (6*a + 3)*x^3 + 3; Aut=1T1; Gal=9T8
Q9; n=9; d=a^6*p^12+...; I=[ 4, 3, 0 ]; R=[ <1, 4>, <3, 3>, <9, 0> ]; A=<t^4 + t + a^6>; f=x^9 + (3*a + 3)*x^4 + 6*x^3 + 3; Aut=1T1; Gal=9T11
Q9; n=9; d=a^6*p^12+...; I=[ 4, 3, 0 ]; R=[ <1, 4>, <3, 3>, <9, 0> ]; A=<t^4 + a*t + a^6>; f=x^9 + (3*a + 3)*x^4 + 6*a*x^3 + 3; Aut=1T1; Gal=9T11
Q9; n=9; d=a^6*p^12+...; I=[ 4, 3, 0 ]; R=[ <1, 4>, <3, 3>, <9, 0> ]; A=<t^4 + a^2*t + a^6>; f=x^9 + (3*a + 3)*x^4 + (6*a + 6)*x^3 + 3; Aut=1T1; Gal=9T11
Q9; n=9; d=a^6*p^12+...; I=[ 4, 3, 0 ]; R=[ <1, 4>, <3, 3>, <9, 0> ]; A=<t^4 + a^3*t + a^6>; f=x^9 + (3*a + 3)*x^4 + (3*a + 6)*x^3 + 3; Aut=1T1; Gal=9T11
Q9; n=9; d=a^6*p^12+...; I=[ 4, 3, 0 ]; R=[ <1, 4>, <3, 3>, <9, 0> ]; A=<t^4 + 2*t + a^6>; f=x^9 + (3*a + 3)*x^4 + 3*x^3 + 3; Aut=1T1; Gal=9T11
Q9; n=9; d=a^6*p^12+...; I=[ 4, 3, 0 ]; R=[ <1, 4>, <3, 3>, <9, 0> ]; A=<t^4 + a^5*t + a^6>; f=x^9 + (3*a + 3)*x^4 + 3*a*x^3 + 3; Aut=1T1; Gal=9T11
Q9; n=9; d=a^6*p^12+...; I=[ 4, 3, 0 ]; R=[ <1, 4>, <3, 3>, <9, 0> ]; A=<t^4 + a^6*t + a^6>; f=x^9 + (3*a + 3)*x^4 + (3*a + 3)*x^3 + 3; Aut=1T1; Gal=9T11
Q9; n=9; d=a^6*p^12+...; I=[ 4, 3, 0 ]; R=[ <1, 4>, <3, 3>, <9, 0> ]; A=<t^4 + a^7*t + a^6>; f=x^9 + (3*a + 3)*x^4 + (6*a + 3)*x^3 + 3; Aut=1T1; Gal=9T11
Q9; n=9; d=a^7*p^12+...; I=[ 4, 3, 0 ]; R=[ <1, 4>, <3, 3>, <9, 0> ]; A=<t^4 + t + a^7>; f=x^9 + (6*a + 3)*x^4 + 6*x^3 + 3; Aut=1T1; Gal=9T15
