p; n; j; ind of insep; polygon; residual poly; defining poly; automorphism; galois group; 
p=2; n=8; j=10; I=[ 10, 2, 2, 0 ]; R=[ <1, 10>, <2, 2>, <8, 0> ]; A=<t + 1, t^2 + 1>; f=x^8 + 4*x^7 + 10*x^2 + 8*x + 2; Aut=2T1; Gal=8T44
p=2; n=8; j=10; I=[ 10, 2, 2, 0 ]; R=[ <1, 10>, <2, 2>, <8, 0> ]; A=<t + 1, t^2 + 1>; f=x^8 + 4*x^5 + 10*x^2 + 8*x + 2; Aut=2T1; Gal=8T44
p=2; n=8; j=10; I=[ 10, 2, 2, 0 ]; R=[ <1, 10>, <2, 2>, <8, 0> ]; A=<t + 1, t^2 + 1>; f=x^8 + 4*x^7 + 4*x^5 + 10*x^2 + 8*x + 2; Aut=2T1; Gal=8T44
p=2; n=8; j=10; I=[ 10, 2, 2, 0 ]; R=[ <1, 10>, <2, 2>, <8, 0> ]; A=<t + 1, t^2 + 1>; f=x^8 + 4*x^3 + 10*x^2 + 8*x + 2; Aut=2T1; Gal=8T44
p=2; n=8; j=10; I=[ 10, 2, 2, 0 ]; R=[ <1, 10>, <2, 2>, <8, 0> ]; A=<t + 1, t^2 + 1>; f=x^8 + 4*x^7 + 4*x^3 + 10*x^2 + 8*x + 2; Aut=2T1; Gal=8T44
p=2; n=8; j=10; I=[ 10, 2, 2, 0 ]; R=[ <1, 10>, <2, 2>, <8, 0> ]; A=<t + 1, t^2 + 1>; f=x^8 + 4*x^5 + 4*x^3 + 10*x^2 + 8*x + 2; Aut=2T1; Gal=8T44
p=2; n=8; j=10; I=[ 10, 2, 2, 0 ]; R=[ <1, 10>, <2, 2>, <8, 0> ]; A=<t + 1, t^2 + 1>; f=x^8 + 4*x^7 + 4*x^5 + 4*x^3 + 10*x^2 + 8*x + 2; Aut=2T1; Gal=8T44
p=2; n=8; j=11; I=[ 11, 11, 8, 0 ]; R=[ <1, 11>, <8, 0> ]; A=<t + 1>; f=x^8 + 4*x^3 + 2; Aut=1T1; Gal=8T36
p=2; n=8; j=11; I=[ 11, 11, 8, 0 ]; R=[ <1, 11>, <8, 0> ]; A=<t + 1>; f=x^8 + 4*x^4 + 4*x^3 + 2; Aut=1T1; Gal=0T0
p=2; n=8; j=11; I=[ 11, 10, 8, 0 ]; R=[ <1, 11>, <8, 0> ]; A=<t + 1>; f=x^8 + 4*x^3 + 4*x^2 + 2; Aut=1T1; Gal=0T0
